species,leaf length,leaf width,length/width
P. interjectum,21.537,7.538,2.856744926
P. interjectum,24.776,6.485,3.820508867
P. interjectum,17.916,7.828,2.288707205
P. interjectum,18.616,5.734,3.246599233
P. interjectum,39.203,7.460,5.255093834
P. interjectum,35.049,8.724,4.017537827
P. interjectum,20.803,6.241,3.333279923
P. interjectum,12.487,4.420,2.825113122
P. interjectum,22.587,7.352,3.072225245
P. interjectum,18.535,5.358,3.459313177
P. interjectum,13.421,7.198,1.864545707
P. interjectum,9.345,4.079,2.291002697
P. interjectum,13.724,6.908,1.986682108
P. interjectum,14.962,5.669,2.639266185
P. interjectum,13.696,7.830,1.74916986
P. interjectum,25.152,7.164,3.510887772
P. interjectum,19.564,5.324,3.691585274
P. interjectum,17.173,7.867,2.183043091
P. interjectum,15.671,6.289,2.491811099
P. interjectum,10.745,4.606,2.332826748
P. interjectum,24.214,7.985,3.032435817
P. interjectum,10.503,5.187,2.024869867
P. interjectum,2.186,1.747,1.251287922
P. interjectum,18.134,6.226,2.912624478
P. interjectum,21.647,6.622,3.268951978
P. interjectum,8.902,3.534,2.518958687
P. interjectum,16.061,5.351,3.001495048
P. interjectum,12.956,5.457,2.374198277
P. interjectum,21.024,5.008,4.198083067
P. interjectum,5.356,2.552,2.098746082
P. interjectum,3.271,2.342,1.396669513
P. interjectum,4.754,2.342,2.029888984
P. interjectum,6.725,2.485,2.706237425
P. interjectum,20.421,5.261,3.881581448
P. interjectum,25.869,5.635,4.590771961
P. interjectum,21.165,4.756,4.450168209
P. interjectum,26.042,4.687,5.55621933
P. interjectum,10.536,4.268,2.468603561
P. interjectum,11.894,3.480,3.417816092
P. interjectum,15.246,4.053,3.761658031
P. interjectum,13.428,4.768,3.005371531
P. vulgare,19.567,6.458,3.029885413
P. vulgare,16.448,7.805,2.107367072
P. vulgare,13.159,4.744,2.773819562
P. vulgare,18.990,5.504,3.450218023
P. vulgare,16.687,5.313,3.140786749
P. vulgare,12.726,3.660,3.47704918
P. vulgare,12.970,4.201,3.087360152
P. vulgare,15.934,5.293,3.010391083
P. vulgare,18.709,5.548,3.3722062
P. vulgare,15.739,7.114,2.226454878
P. vulgare,18.583,5.123,3.627366777
P. vulgare,19.101,5.537,3.449702005
P. vulgare,18.655,5.258,3.547926968
P. vulgare,21.077,5.654,3.727803325
P. vulgare,22.014,6.738,3.267141585
P. vulgare,26.206,6.966,3.761986793
P. vulgare,25.171,7.760,3.243685567
P. vulgare,28.420,7.352,3.865614799
P. vulgare,12.253,4.297,2.851524319
P. vulgare,12.598,4.664,2.701114923
P. vulgare,13.938,6.020,2.315282392
P. vulgare,17.845,4.520,3.94800885
P. vulgare,15.266,3.828,3.97753396
P. vulgare,24.459,8.448,2.895241477
P. vulgare,25.014,6.674,3.747977225
P. vulgare,23.834,7.134,3.340902719
P. vulgare,22.512,4.811,4.679276658
P. vulgare,8.523,3.181,2.679346118
P. vulgare,6.321,3.034,2.083388266
P. vulgare,16.192,4.893,3.309217249
P. vulgare,11.158,4.809,2.320232897
P. vulgare,6.851,2.715,2.523388582
P. vulgare,20.183,5.560,3.630035971
P. vulgare,14.768,4.420,3.341176471
P. vulgare,15.427,4.716,3.271204411
P. vulgare,12.098,4.221,2.866145463
P. vulgare,15.166,5.688,2.666315049
P. vulgare,15.731,4.954,3.175413807
P. vulgare,16.123,5.171,3.117965577
P. vulgare,16.509,5.686,2.903447063
P. vulgare,12.744,4.479,2.845277964
P. vulgare,18.546,5.387,3.442732504
P. vulgare,11.888,4.994,2.380456548
P. vulgare,15.832,5.426,2.91780317
P. vulgare,14.904,4.994,2.984381258
P. vulgare,10.771,4.068,2.647738446
P. vulgare,7.912,3.075,2.57300813
P. vulgare,10.150,5.142,1.973940101
P. vulgare,15.668,5.317,2.946774497
P. vulgare,10.178,4.908,2.073757131
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
