species,spore length,spore width
P. interjectum,76.601,53.308
P. interjectum,79.343,50.35
P. interjectum,73.533,56.789
P. interjectum,75.498,53.772
P. interjectum,85.592,55.351
P. interjectum,74.57,48.49
P. interjectum,82.058,47.874
P. interjectum,81.794,51.757
P. interjectum,77.902,52.499
P. interjectum,80.177,55.887
P. interjectum,84.233,51.966
P. interjectum,77.707,58.279
P. interjectum,87.209,55.209
P. interjectum,81.477,53.32
P. interjectum,79.329,50.2
P. interjectum,90.239,58.193
P. interjectum,74.305,55.294
P. interjectum,88.819,57.463
P. interjectum,87.546,52.42
P. interjectum,80.439,42.755
P. interjectum,85.503,56.499
P. interjectum,83.792,55.036
P. interjectum,88.57,61.717
P. interjectum,72.442,47.057
P. interjectum,79.578,48.691
P. interjectum,91.679,50.961
P. interjectum,88.431,52.962
P. interjectum,78.808,50.355
P. interjectum,80.356,48.691
P. interjectum,75.291,43.482
P. interjectum,75.906,44.877
P. interjectum,71.796,52.495
P. interjectum,77.472,52.838
P. interjectum,75.535,50.194
P. interjectum,74.238,50.259
P. interjectum,70.338,47.862
P. interjectum,77.194,45.414
P. interjectum,62.808,32.19
P. interjectum,60.71,38.475
P. interjectum,61.227,38.627
P. interjectum,83.079,58.021
P. interjectum,89.279,63.489
P. interjectum,83.209,51.302
P. interjectum,81.559,50.713
P. interjectum,84.881,59.645
P. interjectum,77.05,37.477
P. interjectum,70.381,40.18
P. interjectum,89.694,45.67
P. interjectum,77.477,59.298
P. interjectum,80.099,50.983
P. interjectum,65.879,36.567
P. interjectum,76.173,46.631
P. interjectum,72.063,52.459
P. interjectum,61.656,37.962
P. interjectum,70.013,56.26
P. interjectum,67.238,51.049
P. interjectum,71.138,38.179
P. interjectum,73.24,50.017
P. interjectum,77.893,52.43
P. interjectum,67.72,44.858
P. interjectum,58.204,35.538
P. interjectum,71.029,39.8
P. interjectum,63.179,43.853
P. interjectum,85.918,52.531
P. interjectum,83.842,53.855
P. interjectum,79.922,55.236
P. interjectum,78.311,54.003
P. interjectum,76.105,53.835
P. interjectum,82.107,52.073
P. interjectum,82.771,52.898
P. interjectum,79.909,51.202
P. interjectum,79.231,47.09
P. interjectum,86.99,49.254
P. interjectum,62.806,38.171
P. interjectum,69.706,49.149
P. interjectum,70.797,48.421
P. interjectum,71.702,44.001
P. interjectum,68.101,42.306
P. interjectum,76.637,46.783
P. interjectum,72.871,44.493
P. interjectum,66.435,44.055
P. interjectum,66.121,43.321
P. interjectum,64.689,37.529
P. interjectum,69.609,42.246
P. interjectum,76.356,56.036
P. interjectum,75.191,43.775
P. interjectum,53.069,29.741
P. interjectum,61.014,37.86
P. interjectum,75.771,38.806
P. interjectum,69.357,46.087
P. interjectum,70.985,44.877
P. interjectum,69.126,46.061
P. interjectum,75.554,41.851
P. interjectum,65.274,38.522
P. interjectum,72.264,41.177
P. interjectum,76.105,43.064
P. interjectum,72.82,40.443
P. interjectum,73.364,41.715
P. interjectum,64.234,38.527
P. interjectum,70.01,41.611
P. interjectum,82.652,51.832
P. interjectum,74.7,40.686
P. interjectum,68.75,40.832
P. interjectum,80.458,52.265
P. interjectum,70.986,50.316
P. interjectum,61.733,33.921
P. interjectum,74.238,46.736
P. interjectum,64.64,37.467
P. interjectum,58.953,36.775
P. interjectum,58.416,39.274
P. interjectum,57.347,42.068
P. interjectum,53.249,36.837
P. interjectum,50.538,29.803
P. interjectum,55.964,37.294
P. interjectum,53.017,41.179
P. interjectum,53.071,31.491
P. interjectum,89.374,53.104
P. interjectum,104.899,62.717
P. interjectum,95.162,57.858
P. interjectum,81.514,56.037
P. interjectum,80.305,53.831
P. interjectum,68.264,48.166
P. interjectum,77.083,55.242
P. interjectum,80.476,48.214
P. interjectum,85.371,51.84
P. interjectum,90.361,58.489
P. interjectum,71.734,52.19
P. interjectum,72.937,46.821
P. interjectum,74.183,47.762
P. interjectum,68.692,44.533
P. interjectum,78.777,50.381
P. interjectum,74.661,50.981
P. interjectum,65.083,40.992
P. interjectum,78.785,46.38
P. interjectum,76.603,51.36
P. interjectum,72.934,50.109
P. vulgare,54.905,25.7
P. vulgare,55.596,35.24
P. vulgare,56.798,36.981
P. vulgare,54.456,40.999
P. vulgare,57.976,34.783
P. vulgare,53.852,32.299
P. vulgare,54.031,27.134
P. vulgare,55.263,37.847
P. vulgare,60.449,35.565
P. vulgare,61.431,44.762
P. vulgare,64.413,50.537
P. vulgare,60.808,36.165
P. vulgare,71.121,44.008
P. vulgare,58.923,32.927
P. vulgare,73.915,51.757
P. vulgare,62.311,46.648
P. vulgare,59.817,45.636
P. vulgare,72.095,41.818
P. vulgare,60.263,44.539
P. vulgare,67.053,48.128
P. vulgare,53.547,37.268
P. vulgare,56.736,37.343
P. vulgare,56.149,35.201
P. vulgare,54.234,35.574
P. vulgare,51.15,38.386
P. vulgare,51.861,37.134
P. vulgare,56.091,37.421
P. vulgare,46.506,28.77
P. vulgare,58.828,40.468
P. vulgare,48.249,25.87
P. vulgare,62.643,35.467
P. vulgare,77.716,54.232
P. vulgare,70.342,44.204
P. vulgare,68.576,51.265
P. vulgare,69.228,33.082
P. vulgare,61.846,43.418
P. vulgare,67.135,41.718
P. vulgare,57.03,32.194
P. vulgare,62.407,44.203
P. vulgare,70.193,40.634
P. vulgare,57.255,38.314
P. vulgare,59.101,37.648
P. vulgare,57.822,37.356
P. vulgare,57.427,36.029
P. vulgare,60.466,38.089
P. vulgare,57.468,35.083
P. vulgare,57.703,35.262
P. vulgare,53.666,36.562
P. vulgare,67.557,49.12
P. vulgare,63.623,40.878
P. vulgare,60.792,39.838
P. vulgare,60.184,36.348
P. vulgare,56.823,36.276
P. vulgare,60.815,38.935
P. vulgare,66.821,44.394
P. vulgare,60.348,37.211
P. vulgare,68.942,40.862
P. vulgare,67.915,40.036
P. vulgare,60.558,36.441
P. vulgare,66.462,39.539
P. vulgare,58.118,35.86
P. vulgare,67.795,48.239
P. vulgare,70.32,45.422
P. vulgare,61.489,43.986
P. vulgare,71.037,47.198
P. vulgare,59.188,42.801
P. vulgare,59.781,43.68
P. vulgare,72.392,41.818
P. vulgare,74.412,43.902
P. vulgare,72.821,52.265
P. vulgare,62.695,35.579
P. vulgare,60.735,35.142
P. vulgare,62.851,38.554
P. vulgare,64.716,46.032
P. vulgare,68.569,39.259
P. vulgare,63.989,38.952
P. vulgare,67.656,40.631
P. vulgare,58.607,42.425
P. vulgare,66.125,47.592
P. vulgare,70.137,37.257
P. vulgare,75.406,49.724
P. vulgare,65.643,47.879
P. vulgare,67.411,47.528
P. vulgare,68.122,50.778
P. vulgare,66.96,41.627
P. vulgare,68.486,52.633
P. vulgare,66.812,48.128
P. vulgare,61.658,43.436
P. vulgare,70.491,45.581
P. vulgare,77.05,44.339
P. vulgare,71.361,46.513
P. vulgare,71.264,40.726
P. vulgare,72.943,41.277
P. vulgare,73.789,41.659
P. vulgare,67.816,45.449
P. vulgare,71.004,41.412
P. vulgare,79.425,47.794
P. vulgare,70.343,41.16
P. vulgare,64.11,35.579
P. vulgare,53.99,38.525
P. vulgare,52.392,40.254
P. vulgare,54.771,33.08
P. vulgare,45.12,38.996
P. vulgare,62.678,41.063
P. vulgare,59.131,39.274
P. vulgare,58.576,31.138
P. vulgare,60.328,38.295
P. vulgare,63.864,39.387
P. vulgare,60.77,42.16
P. vulgare,65.681,38.802
P. vulgare,64.794,42.852
P. vulgare,59.238,40.984
P. vulgare,59.755,41.526
P. vulgare,59.767,36.372
P. vulgare,65.268,39.665
P. vulgare,59.847,35.965
P. vulgare,65.025,41.953
P. vulgare,56.241,24.108
P. vulgare,63.876,34.397
P. vulgare,52.769,36.863
P. vulgare,59.304,35.056
P. vulgare,65.57,38.008
P. vulgare,63.608,43.47
P. vulgare,67.35,37.832
P. vulgare,63.766,41.396
P. vulgare,67.543,36.896
P. vulgare,71.754,37.408
P. vulgare,65.873,43.507
P. vulgare,74.697,43.793
P. vulgare,62.814,39.967
P. vulgare,65.122,30.29
P. vulgare,70.755,45.607
P. vulgare,63.644,46.765
P. vulgare,65.997,47.337
P. vulgare,70.272,44.926
P. vulgare,71.859,52.577
